2025-09-03 18:13:49.545 | INFO     | python_scraper:scrape_latest_single_record:1069 - 最新数据已保存到MongoDB数据库
2025-09-03 18:13:49.668 | INFO     | python_scraper:cleanup:1087 - 浏览器驱动已关闭
2025-09-03 18:13:49.678 | INFO     | python_scraper:cleanup:1087 - 浏览器驱动已关闭
2025-09-03 18:14:49.694 | INFO     | python_scraper:scrape_latest_single_record:1025 - 开始抓取最新一期台湾PK10数据
2025-09-03 18:14:52.987 | INFO     | python_scraper:setup_driver:86 - Chrome浏览器驱动设置完成
2025-09-03 18:14:52.994 | INFO     | python_scraper:navigate_to_page:95 - 正在访问: https://xn--kpro5poukl1g.com/#/
2025-09-03 18:15:10.400 | INFO     | python_scraper:navigate_to_page:102 - 页面加载完成
2025-09-03 18:15:10.450 | INFO     | python_scraper:click_pk10_option:148 - 找到台湾PK10选项: 台湾PK10
2025-09-03 18:15:12.599 | INFO     | python_scraper:click_pk10_option:152 - 成功点击台湾PK10选项
2025-09-03 18:15:12.600 | INFO     | python_scraper:navigate_to_page:106 - 成功切换到台湾PK10数据
2025-09-03 18:15:15.636 | INFO     | python_scraper:extract_lottery_data:484 - 第1页找到 3 个表格
2025-09-03 18:15:15.709 | INFO     | python_scraper:extract_lottery_data:498 - 第1页选择表格 2，包含 50 行
2025-09-03 18:15:15.725 | INFO     | python_scraper:extract_lottery_data:510 - 第1页找到 50 行数据
2025-09-03 18:15:15.751 | INFO     | python_scraper:extract_lottery_data:524 - 第1页第一行包含有效数据，从第一行开始读取
2025-09-03 18:15:15.797 | INFO     | python_scraper:extract_lottery_data:534 - 第1页已达到最大记录数限制: 1
2025-09-03 18:15:15.799 | INFO     | python_scraper:extract_lottery_data:572 - 第1页成功提取 1 条数据
2025-09-03 18:15:15.800 | INFO     | python_scraper:scrape_latest_single_record:1053 - 成功抓取最新数据: 期号=114049869
2025-09-03 18:15:15.807 | INFO     | python_scraper:connect_mongodb:1102 - 成功连接到MongoDB数据库: taiwan_pk10
2025-09-03 18:15:15.816 | INFO     | python_scraper:save_to_mongodb:1151 - 成功保存 1 条数据到MongoDB
2025-09-03 18:15:15.821 | INFO     | python_scraper:save_to_mongodb:1163 - 格式化数据已保存，共 1 条记录
2025-09-03 18:15:15.824 | INFO     | python_scraper:scrape_latest_single_record:1069 - 最新数据已保存到MongoDB数据库
2025-09-03 18:15:15.936 | INFO     | python_scraper:cleanup:1087 - 浏览器驱动已关闭
2025-09-03 18:15:15.942 | INFO     | python_scraper:cleanup:1087 - 浏览器驱动已关闭
2025-09-03 18:16:15.954 | INFO     | python_scraper:scrape_latest_single_record:1025 - 开始抓取最新一期台湾PK10数据
2025-09-03 18:16:17.512 | INFO     | python_scraper:setup_driver:86 - Chrome浏览器驱动设置完成
2025-09-03 18:16:17.518 | INFO     | python_scraper:navigate_to_page:95 - 正在访问: https://xn--kpro5poukl1g.com/#/
2025-09-03 18:16:28.378 | INFO     | python_scraper:navigate_to_page:102 - 页面加载完成
2025-09-03 18:16:28.444 | INFO     | python_scraper:click_pk10_option:148 - 找到台湾PK10选项: 台湾PK10
2025-09-03 18:16:30.511 | INFO     | python_scraper:click_pk10_option:152 - 成功点击台湾PK10选项
2025-09-03 18:16:30.514 | INFO     | python_scraper:navigate_to_page:106 - 成功切换到台湾PK10数据
2025-09-03 18:16:33.533 | INFO     | python_scraper:extract_lottery_data:484 - 第1页找到 3 个表格
2025-09-03 18:16:33.589 | INFO     | python_scraper:extract_lottery_data:498 - 第1页选择表格 2，包含 50 行
2025-09-03 18:16:33.604 | INFO     | python_scraper:extract_lottery_data:510 - 第1页找到 50 行数据
2025-09-03 18:16:33.624 | INFO     | python_scraper:extract_lottery_data:524 - 第1页第一行包含有效数据，从第一行开始读取
2025-09-03 18:16:33.668 | INFO     | python_scraper:extract_lottery_data:534 - 第1页已达到最大记录数限制: 1
2025-09-03 18:16:33.670 | INFO     | python_scraper:extract_lottery_data:572 - 第1页成功提取 1 条数据
2025-09-03 18:16:33.671 | INFO     | python_scraper:scrape_latest_single_record:1053 - 成功抓取最新数据: 期号=114049870
2025-09-03 18:16:33.680 | INFO     | python_scraper:connect_mongodb:1102 - 成功连接到MongoDB数据库: taiwan_pk10
2025-09-03 18:16:33.689 | INFO     | python_scraper:save_to_mongodb:1151 - 成功保存 1 条数据到MongoDB
2025-09-03 18:16:33.693 | INFO     | python_scraper:save_to_mongodb:1163 - 格式化数据已保存，共 1 条记录
2025-09-03 18:16:33.698 | INFO     | python_scraper:scrape_latest_single_record:1069 - 最新数据已保存到MongoDB数据库
2025-09-03 18:16:33.808 | INFO     | python_scraper:cleanup:1087 - 浏览器驱动已关闭
2025-09-03 18:16:33.820 | INFO     | python_scraper:cleanup:1087 - 浏览器驱动已关闭
2025-09-03 18:17:19.830 | INFO     | python_scraper:scrape_latest_single_record:1025 - 开始抓取最新一期台湾PK10数据
2025-09-03 18:17:21.740 | INFO     | python_scraper:setup_driver:86 - Chrome浏览器驱动设置完成
2025-09-03 18:17:21.744 | INFO     | python_scraper:navigate_to_page:95 - 正在访问: https://xn--kpro5poukl1g.com/#/
2025-09-03 18:17:46.565 | INFO     | python_scraper:navigate_to_page:102 - 页面加载完成
2025-09-03 18:17:46.616 | INFO     | python_scraper:click_pk10_option:148 - 找到台湾PK10选项: 台湾PK10
2025-09-03 18:17:48.696 | INFO     | python_scraper:click_pk10_option:152 - 成功点击台湾PK10选项
2025-09-03 18:17:48.698 | INFO     | python_scraper:navigate_to_page:106 - 成功切换到台湾PK10数据
2025-09-03 18:17:51.715 | INFO     | python_scraper:extract_lottery_data:484 - 第1页找到 3 个表格
2025-09-03 18:17:51.807 | INFO     | python_scraper:extract_lottery_data:498 - 第1页选择表格 2，包含 50 行
2025-09-03 18:17:51.821 | INFO     | python_scraper:extract_lottery_data:510 - 第1页找到 50 行数据
2025-09-03 18:17:51.846 | INFO     | python_scraper:extract_lottery_data:524 - 第1页第一行包含有效数据，从第一行开始读取
2025-09-03 18:17:51.892 | INFO     | python_scraper:extract_lottery_data:534 - 第1页已达到最大记录数限制: 1
2025-09-03 18:17:51.894 | INFO     | python_scraper:extract_lottery_data:572 - 第1页成功提取 1 条数据
2025-09-03 18:17:51.895 | INFO     | python_scraper:scrape_latest_single_record:1053 - 成功抓取最新数据: 期号=114049870
2025-09-03 18:17:51.903 | INFO     | python_scraper:connect_mongodb:1102 - 成功连接到MongoDB数据库: taiwan_pk10
2025-09-03 18:17:51.911 | INFO     | python_scraper:save_to_mongodb:1151 - 成功保存 1 条数据到MongoDB
2025-09-03 18:17:51.915 | INFO     | python_scraper:save_to_mongodb:1163 - 格式化数据已保存，共 1 条记录
2025-09-03 18:17:51.918 | INFO     | python_scraper:scrape_latest_single_record:1069 - 最新数据已保存到MongoDB数据库
2025-09-03 18:17:52.017 | INFO     | python_scraper:cleanup:1087 - 浏览器驱动已关闭
2025-09-03 18:17:52.028 | INFO     | python_scraper:cleanup:1087 - 浏览器驱动已关闭
2025-09-03 18:18:52.003 | INFO     | python_scraper:scrape_latest_single_record:1025 - 开始抓取最新一期台湾PK10数据
2025-09-03 18:18:53.826 | INFO     | python_scraper:setup_driver:86 - Chrome浏览器驱动设置完成
2025-09-03 18:18:53.857 | INFO     | python_scraper:navigate_to_page:95 - 正在访问: https://xn--kpro5poukl1g.com/#/
2025-09-03 18:19:02.794 | INFO     | python_scraper:navigate_to_page:102 - 页面加载完成
2025-09-03 18:19:02.852 | INFO     | python_scraper:click_pk10_option:148 - 找到台湾PK10选项: 台湾PK10
2025-09-03 18:19:04.921 | INFO     | python_scraper:click_pk10_option:152 - 成功点击台湾PK10选项
2025-09-03 18:19:04.924 | INFO     | python_scraper:navigate_to_page:106 - 成功切换到台湾PK10数据
2025-09-03 18:19:07.942 | INFO     | python_scraper:extract_lottery_data:484 - 第1页找到 3 个表格
2025-09-03 18:19:07.983 | INFO     | python_scraper:extract_lottery_data:498 - 第1页选择表格 2，包含 50 行
2025-09-03 18:19:07.994 | INFO     | python_scraper:extract_lottery_data:510 - 第1页找到 50 行数据
2025-09-03 18:19:08.008 | INFO     | python_scraper:extract_lottery_data:524 - 第1页第一行包含有效数据，从第一行开始读取
2025-09-03 18:19:08.047 | INFO     | python_scraper:extract_lottery_data:534 - 第1页已达到最大记录数限制: 1
